id;title;release_date;genre;description;budget;gross_earnings;world_wide_earnings
0;Kate & Leopold;4/5/2002;Comedy, Fantasy, Romance;An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.;48000000.0;47121859.0;76019048.0
1;A Clockwork Orange;3/17/2000;Crime, Drama, Sci-Fi;In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn\'t go as planned.;2200000.0;26589355.0;26903440.0
2;The Evil Dead;10/31/2018;Horror;Five friends travel to a cabin in the woods, where they unknowingly release flesh-possessing demons.;350000.0;2400000.0;2893091.0
3;Manhunter;8/18/1989;Crime, Horror, Mystery;"Former F.B.I. profiler Will Graham (William Petersen) returns to service to pursue a deranged serial killer named ""the Tooth Fairy"" (Tom Noonan) by the media.";15000000.0;8620929.0;8620929.0
4;King Lear;4/3/2002;Comedy, Drama, Sci-Fi;Everything returns to normal after Chernobyl. That is, everything but art. Most of the great works are lost, and it is up to people like William Shakespear Junior the Fifth to restore the ...;2000000.0;61821.0;85018.0
5;No Man's Land;2/3/1989;Crime, Drama, Thriller;A rookie cop goes undercover and infiltrates a car thief ring.;8000000.0;2877571.0;2877571.0
6;Pinocchio and the Emperor of the Night;7/19/1991;Animation, Adventure, Family;Pinocchio and his friends, a glow worm and a marionette, search for a magic music box. However, so is the evil Scalawag and the Emperor of the Night.;8000000.0;3261638.0;3261638.0
7;The Sicilian;5/19/1989;Action, Crime, Drama;Egocentric bandit Salvatore Giuliano fights the Church, the Mafia, and the landed gentry while leading a populist movement for Sicilian independence.;9000000.0;5406879.0;5406879.0
8;The Accused;2/24/1989;Crime, Drama;After a young woman suffers a brutal gang rape in a bar one night, a prosecutor assists in bringing the perpetrators to justice, including the ones who encouraged and cheered on the attack.;6000000.0;32078318.0;32078318.0
9;Apartment Zero;9/15/1989;Drama, Thriller;Set in modern day Buenos Aires, the film centers around a relationship between two emotionally crippled roommates. Adrian LeDuc is a lonely sociopath who is forced to rent his insane ...;4000000.0;1267578.0;1267578.0
10;Beaches;5/26/1989;Comedy, Drama, Music;A privileged rich debutante and a cynical struggling entertainer share a turbulent, but strong childhood friendship over the years.;20000000.0;57041866.0;57041866.0
11;Betrayed;6/23/1989;Crime, Drama, Thriller;An FBI agent posing as a combine driver becomes romantically involved with a Midwest farmer who lives a double life as a white supremacist.;19000000.0;25816139.0;25816139.0
13;Child's Play;9/22/1989;Horror, Thriller;A single mother gives her son a much sought-after doll for his birthday, only to discover that it is possessed by the soul of a serial killer.;9000000.0;33244684.0;44196684.0
14;Cocktail;2/3/1989;Comedy, Drama, Romance;A talented New York City bartender takes a job at a bar in Jamaica and falls in love.;20000000.0;78222753.0;171504781.0
15;Cocoon: The Return;8/4/1989;Adventure, Comedy, Mystery;The old age pensioners that left at the end of the first film come back to Earth to visit their relatives. Will they all decide to go back to the planet where no one grows old, or will they be tempted to stay back on Earth?;17500000.0;18924919.0;25024919.0
16;Evil Angels;7/28/1989;Biography, Drama;A mother whose child was killed in a dingo attack in the Australian Outback fights to prove her innocence when she is accused of murder.;15000000.0;6908797.0;6908797.0
17;Dangerous Liaisons;6/9/1989;Drama, Romance;A scheming widow and her manipulative ex-lover make a bet regarding the corruption of a recently married woman.;14000000.0;34670720.0;34670720.0
18;The Dead Pool;4/14/1989;Action, Crime, Mystery;"Inspector ""Dirty"" Harry Callahan must stop a sick secret contest to murder local celebrities, which includes himself as a target.";31000000.0;37903295.0;37903295.0
19;Dead Ringers;2/3/1989;Drama, Horror, Thriller;Twin gynecologists take full advantage of the fact that nobody can tell them apart, until their relationship begins to deteriorate over a woman.;13000000.0;8038508.0;8038508.0
20;Die Hard;2/17/1989;Action, Thriller;An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.;28000000.0;83519093.0;141482154.0
21;Eight Men Out;6/29/1989;Drama, History, Sport;A dramatization of the Black Sox scandal when the underpaid Chicago White Sox accepted bribes to deliberately lose the 1919 World Series.;6000000.0;5680515.0;5680515.0
22;Ernest Saves Christmas;12/1/1989;Comedy, Family, Fantasy;Ernest helps Santa Claus as he searches for his successor.;6000000.0;28202109.0;28202109.0
23;The Good Mother;4/7/1989;Drama, Romance;A divorced mother may lose custody of her young daughter to her ex-husband after he learns that the little girl crawled into bed with the mother and her boyfriend.;14000000.0;4764606.0;4764606.0
24;Gorillas in the Mist: The Story of Dian Fossey;1/27/1989;Biography, Drama;The story of Dian Fossey, a scientist who came to Africa to study the vanishing mountain gorillas, and later fought to protect them.;22000000.0;24720479.0;61149479.0
25;Halloween 4: The Return of Michael Myers;11/17/1989;Horror, Thriller;Ten years after his original massacre, the invalid Michael Myers awakens on Halloween Eve and returns to Haddonfield to kill his seven-year-old niece. Can Dr. Loomis stop him?;5000000.0;17768757.0;17768757.0
26;Hellbound: Hellraiser II;9/22/1989;Horror, Thriller;Kirsty is brought to an institution after the death of her family, where the occult-obsessive head resurrects Julia and unleashes the Cenobites once again.;3000000.0;12090735.0;12090735.0
28;Hit List;3/3/1989;Action, Thriller;A family man and a mob witness hunt for a hit-man who has mistakenly kidnapped the family man\'s son.;1500000.0;4564.0;4564.0
29;The House on Carroll Street;4/14/1989;Thriller;In 1950s America, an FBI agent and a blacklist victim uncover a plot to smuggle Nazi war criminals into the country.;14000000.0;459824.0;459824.0
30;I'm Gonna Git You Sucka;2/23/1989;Action, Comedy, Crime;In this parody of blaxploitation movies, a black hero wannabe reunites former black heroes from the 70s to help him get revenge on Mr. Big.;3000000.0;13030057.0;13030057.0
31;The Lair of the White Worm;3/10/1989;Horror;When an archeologist uncovers a strange skull in foreign land, the residents of a nearby town begin to disappear, leading to further unexplainable occurrences.;2500000.0;1189315.0;1189315.0
32;The Land Before Time;7/28/1989;Animation, Adventure, Drama;An orphaned brontosaurus teams up with other young dinosaurs in order to reunite with their families in a valley.;12500000.0;48092846.0;84576957.0
33;Mac and Me;7/21/1989;Adventure, Family, Fantasy;An alien trying to escape from NASA is befriended by a wheelchair-bound boy.;13000000.0;6424112.0;6424112.0
34;Married to the Mob;9/8/1989;Comedy, Crime, Romance;An undercover FBI agent falls in love with a recently widowed mafia wife, who is trying to restart her life following her husband\'s murder while being pursued by a libidinous mafia kingpin seeking to claim her for himself.;10000000.0;21486757.0;21486757.0
35;Mississippi Burning;5/12/1989;Crime, Drama, History;Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.;15000000.0;34603943.0;34603943.0
36;My Stepmother Is an Alien;5/5/1989;Comedy, Sci-Fi;A creature from another planet tries to seduce a shy Earth physicist to gain control over his researches. The result of this important mission much exceeded her expectations.;20000000.0;13854000.0;13854000.0
37;The Naked Gun: From the Files of Police Squad!;2/17/1989;Comedy, Crime;Incompetent police Detective Frank Drebin must foil an attempt to assassinate;12000000.0;78756177.0;78756177.0
38;A Nightmare on Elm Street 4: The Dream Master;6/16/1989;Horror;Freddy Krueger returns once again to terrorize the dreams of the remaining Dream Warriors, as well as those of a young woman who may be able to defeat him for good.;13000000.0;49369899.0;49369899.0
39;Nuovo Cinema Paradiso;4/20/1990;Drama;A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema\'s projectionist.;5000000.0;12397210.0;12645096.0
40;Oliver & Company;3/16/1990;Animation, Adventure, Comedy;A lost and alone kitten joins a gang of dogs engaged in petty larceny in New York City.;31000000.0;74151346.0;74151346.0
41;Phantasm II;3/3/1989;Action, Fantasy, Horror;Mike, now released from a psychiatric hospital, continues his journey to stop the evil Tall Man from his grim work.;3000000.0;7282851.0;7282851.0
42;Plain Clothes;3/2/1989;Comedy, Mystery, Romance;To prove his brother\'s innocence, undercover officer Nick enrolls in high school again, dealing with crushes, bullies, humiliations, popularity swings, and quirky teachers and staff to find the real murderer.;7500000.0;289323.0;289323.0
43;Pumpkinhead;1/13/1989;Fantasy, Horror;After a tragic accident, a man conjures up a towering, vengeful demon called Pumpkinhead to destroy a group of unsuspecting teenagers.;3500000.0;4385516.0;4385516.0
44;Rain Man;3/17/1989;Drama;"Selfish yuppie Charlie Babbitt\'s father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.";25000000.0;172825435.0;354825435.0
45;Rampage;10/30/1992;Drama, Thriller;Liberal district attorney decides to seek the death penalty for a man who slaughtered a family at Christmastime, then drank their blood. He escapes, though, and starts killing again.;7500000.0;796368.0;796368.0
46;Red Heat;1/13/1989;Action, Comedy, Crime;A tough Russian policeman is forced to partner up with a cocky Chicago police detective when he is sent to Chicago to apprehend a Georgian drug lord who killed his partner and fled the country.;29000000.0;34994648.0;34994648.0
47;Return of the Living Dead: Part II;4/14/1989;Comedy, Horror, Sci-Fi;Curious kids unearth the barrels that previously helped revive the dead, which proves the second time\'s an undead charm.;6200000.0;9205924.0;9205924.0
48;The Serpent and the Rainbow;6/9/1989;Fantasy, Horror;An anthropologist goes to Haiti after hearing rumors about a drug used by black magic practitioners to turn people into zombies.;7000000.0;19595031.0;19595031.0
49;Short Circuit 2;3/24/1989;Comedy, Drama, Family;Robot Johnny Five comes to the city and gets manipulated by criminals who want him for their own purposes.;15000000.0;21630088.0;21630088.0
50;Talk Radio;12/8/1989;Drama;A rude, contemptuous talk show host becomes overwhelmed by the hatred that surrounds his program just before it goes national.;4000000.0;3468572.0;3468572.0
51;Tequila Sunrise;5/12/1989;Crime, Drama, Romance;A former L.A. drug dealer tries to go straight but his past and his underworld connections bring him into the focus of the DEA, the Mexican feds and the Mexican drug cartels.;23000000.0;41292551.0;41292551.0
52;Twins;3/17/1989;Comedy, Crime;A physically perfect but innocent man goes in search of his long-lost twin brother, who is short, a womanizer, and small-time crook.;15000000.0;111938388.0;216614388.0
53;Working Girl;5/26/1989;Comedy, Drama, Romance;When a secretary\'s idea is stolen by her boss, she seizes an opportunity to steal it back by pretending she has her boss\' job.;28000000.0;63779477.0;102956984.0
54;Young Guns;2/17/1989;Action, Western;A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted.;13000000.0;45661556.0;45661556.0
55;The 'Burbs;2/17/1989;Comedy, Mystery, Thriller;An overstressed suburbanite and his fellow neighbors are convinced that the new family on the block are part of a murderous Satanic cult.;18000000.0;36601993.0;49101993.0
56;The Abyss;10/27/1989;Adventure, Drama, Mystery;A civilian diving team is enlisted to search for a lost nuclear submarine and face danger while encountering an alien aquatic species.;70000000.0;54461047.0;90000098.0
57;The Adventures of Baron Munchausen;3/31/1989;Adventure, Comedy, Fantasy;An account of Baron Munchausen\'s supposed travels and fantastical experiences with his band of misfits.;46630000.0;8083123.0;8083123.0
58;After Midnight;11/3/1989;Horror, Thriller;College class, Psychology of Fear, has a new, scary teacher - you have to feel fear to understand it. One student pees himself. The scary stuff is moved to the teacher\'s house, where scary stories are told.;3000000.0;76325.0;76325.0
59;All Dogs Go to Heaven;4/6/1990;Animation, Comedy, Drama;A canine angel, Charlie, sneaks back to earth from heaven but ends up befriending an orphan girl who can speak to animals. In the process, Charlie learns that friendship is the most heavenly gift of all.;13800000.0;27100027.0;27100027.0
60;Always;3/30/1990;Fantasy, Romance;The spirit of a recently deceased expert pilot mentors a newer pilot while watching him fall in love with the girlfriend that he left behind.;31000000.0;43858790.0;74134790.0
61;Back to the Future Part II;11/24/1989;Adventure, Comedy, Sci-Fi;After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.;40000000.0;119000002.0;335881828.0
62;Batman;8/11/1989;Action, Adventure;The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker.;35000000.0;251348343.0;411556825.0
63;Best of the Best;11/10/1989;Action, Drama, Sport;A team from the United States is going to compete against Korea in a Tae Kwon Do tournament. The team consists of fighters from all over the country--can they overcome their rivalry and work together to win?;5000000.0;1700000.0;1700000.0
64;The Big Picture;12/15/1989;Comedy, Drama, Romance;Film school grad Nick Chapman thought his career was made after his award winning short film, but discovered Hollywood wasn\'t as easy as it seems.;5000000.0;117463.0;117463.0
65;Bill & Ted's Excellent Adventure;2/17/1989;Adventure, Comedy, Music;Two seemingly dumb teens set off on a quest to prepare the ultimate historical presentation with the help of a time machine.;10000000.0;40485039.0;40485039.0
66;Black Rain;1/26/1990;Action, Crime, Thriller;Two NYC cops arrest a Yakuza member and must escort him when he\'s extradited to Japan.;30000000.0;46212055.0;134212055.0
67;Blind Fury;3/16/1990;Action, Comedy, Crime;A blind Vietnam vet, trained as a swordfighter, comes to America and helps to rescue the son of a fellow soldier.;10000000.0;2692037.0;2692037.0
68;Bloodhounds of Broadway;11/3/1989;Comedy, Drama, Romance;This musical is based on four short stories by Damon Runyon. In one tale, gambler Feet Samuels sells his body to science just as he realizes that Hortense loves him and that he would rather...;4000000.0;43671.0;43671.0
69;Born on the Fourth of July;3/2/1990;Biography, Drama, War;The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for.;14000000.0;70001698.0;161001698.0
70;Breaking In;10/13/1989;Adventure, Comedy;"Professional thief Ernie takes Mike on as an apprentice, but while Mike clearly has ""larceny in his heart"", it will take him a long time to get as good as Ernie.";6000000.0;1877618.0;1877618.0
71;Brenda Starr;4/15/1992;Adventure, Comedy, Romance;"Mike is a struggling artist who draws the ""Brenda Starr"" strip for the papers. When Brenda comes to life in the strip and sees how unappreciated she is by Mike, she leaves the strip. To get...";16000000.0;67878.0;67878.0
72;Casualties of War;2/16/1990;Crime, Drama, War;During the Vietnam War, a soldier finds himself the outsider of his own squad when they unnecessarily kidnap a female villager.;22500000.0;18671317.0;18671317.0
73;Catch Me If You Can;10/14/1989;Action, Comedy, Drama;A hotshot car racer persuades the class president of a small Minnesota high school to gamble on illegal car races to raise money for their school facing closure.;800000.0;3686.0;3686.0
74;Chances Are;3/10/1989;Comedy, Fantasy, Romance;A reincarnated man unknowingly falls in love with his own daughter from his previous life. Once he realizes this, he tries to end their relationship before angels erase his memory.;16000000.0;16278590.0;16278590.0
75;Cheetah;8/18/1989;Adventure, Family;An American boy and girl, spending six months in Kenya with their scientist parents adopt a cheetah, only to realize that they must set it loose so that it can learn to hunt and be free. ...;5000000.0;8153677.0;8153677.0
76;Communion;11/10/1989;Biography, Drama, Horror;"Oct.4 and Dec.26 the Strieber family drives from NYC to their cabin in the woods. Both nights there are some powerful lights outside and maybe aliens. The dad is mentally affected by the ""bad dream"", goes to the shrink and is hypnotized.";5000000.0;1919653.0;1919653.0
77;Cousins;9/16/1989;Comedy, Romance;Two couples go to a mutual friend\'s wedding and end up swapping partners.;13000000.0;22026369.0;22026369.0
78;Crimes and Misdemeanors;8/10/1990;Comedy, Drama;An ophthalmologist\'s mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.;19000000.0;18254702.0;18254702.0
79;Cyborg;4/7/1989;Action, Sci-Fi, Thriller;A martial artist hunts a killer in a plague-infested urban dump of the future.;500000.0;10166459.0;10166459.0
80;Dad;11/10/1989;Comedy, Drama;John\'s mom has a heart attack and ends in hospital. John flies home to take care of his dad, teaching him to do things around the house, spends time with him and shows him how to live again without mom\'s control. John\'s son joins them.;19000000.0;22103037.0;29237250.0
81;Dead Calm;12/22/1989;Horror, Thriller;After a tragedy, John Ingram and his wife Rae are spending some time isolated at sea, when they come across a stranger who has abandoned a sinking ship.;10400000.0;7825009.0;7825009.0
82;Dead Poets Society;9/29/1989;Comedy, Drama;English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.;16400000.0;95860116.0;235860116.0
83;Dead Bang;9/7/1989;Action, Crime, Drama;A cop is gunned down on Xmas eve. Jerry Beck, the homicide cop given the job of hunting the killer, investigates some leads which bring him into contact with a group of white supremacy ...;14500000.0;8125592.0;8125592.0
84;DeepStar Six;1/13/1989;Action, Horror, Sci-Fi;At the bottom of the ocean, the DeepStar Six has just discovered a new and deadly alien menace.;8000000.0;8143225.0;8143225.0
85;Do the Right Thing;7/21/1989;Comedy, Drama;On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone\'s hate and bigotry smolders and builds until it explodes into violence.;6500000.0;27545445.0;37313222.0
86;The Dream Team;12/29/1989;Comedy, Crime, Thriller;Four mental patients on a field trip in New York City must save their caring chaperon, who ends up being taken to a hospital in a coma after accidentally witnessing a murder, before the killers can find him and finish the job.;15000000.0;28890240.0;28890240.0
87;Driving Miss Daisy;3/23/1990;Drama;An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.;7500000.0;106593296.0;145793296.0
88;Drugstore Cowboy;3/2/1990;Crime, Drama;A pharmacy-robbing dope fiend and his crew pop pills and evade the law.;2500000.0;4729352.0;4729352.0
89;Earth Girls Are Easy;2/9/1990;Comedy, Musical, Romance;A Southern California girl befriends three furry aliens after their spaceship lands in her swimming pool.;10000000.0;3916303.0;3916303.0
90;Enemies, A Love Story;12/13/1989;Comedy, Drama, Romance;A ghostwriter finds himself romantically involved with his current wife, a married woman and his long-vanished wife.;9500000.0;7754571.0;7754571.0
91;The Fabulous Baker Boys;5/18/1990;Comedy, Drama, Music;The lives of two struggling musicians, who happen to be brothers, inevitably change when they team up with a beautiful, up-and-coming singer.;13000000.0;18428904.0;18428904.0
92;Farewell to the King;3/3/1989;Action, Adventure, Drama;Borneo, 1942: An American soldier escapes WWII and becomes the king of the headhunters in the jungle. Two British soldiers are parachuted into the area to find local support for the battle against the Japanese.;20000000.0;2420917.0;2420917.0
93;Fat Man and Little Boy;10/20/1989;Biography, Drama, History;This film reenacts the Manhattan Project, the secret wartime project in New Mexico where the first atomic bombs were designed and built.;30000000.0;3563162.0;3563162.0
94;Fletch Lives;6/23/1989;Comedy, Crime, Mystery;After receiving an inheritance in Louisiana, Los Angeles reporter Irvin Fletcher heads to the Belle Isle plantation where he gets himself into hilarious trouble.;8000000.0;35150960.0;39450960.0
95;Friday the 13th Part VIII: Jason Takes Manhattan;7/28/1989;Adventure, Horror, Thriller;A boatful of graduating high school students headed to Manhattan accidentally pull Jason Voorhees along for the ride.;5000000.0;14343976.0;14343976.0
96;Fright Night Part 2;5/19/1989;Comedy, Horror, Thriller;Charley Brewster and Peter Vincent must face more vampires, out for revenge.;7500000.0;2983784.0;2983784.0
97;Ghostbusters II;12/1/1989;Action, Comedy, Fantasy;The discovery of a massive river of ectoplasm and a resurgence of spectral activity allows the staff of Ghostbusters to revive the business.;37000000.0;112494738.0;215394738.0
98;Gleaming the Cube;1/13/1989;Action, Drama, Mystery;A young avid skateboarder uncovers a government conspiracy while investigating his adoptive brother\'s mysterious death.;10000000.0;2777280.0;2777280.0
99;Glory;2/16/1990;Biography, Drama, History;Robert Gould Shaw leads the U.S. Civil War\'s first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.;18000000.0;26979166.0;26979166.0
100;Gross Anatomy;10/20/1989;Drama;A smart first-year med student takes nothing seriously, except the pursuit of his Gross Anatomy (human dissection) lab partner. It\'s up to her and their teacher to find a way to convince ...;8500000.0;11604598.0;11604598.0
101;Halloween 5: The Revenge of Michael Myers;10/13/1989;Horror, Thriller;One year after the events of;5000000.0;11642254.0;11642254.0
102;Harlem Nights;5/25/1990;Comedy, Crime, Drama;During the 1930s, a New York City illegal gambling house owner and his associates must deal with strong competition, gangsters, and corrupt cops in order to stay in business.;30000000.0;60864870.0;60864870.0
103;Heart of Dixie;8/25/1989;Drama;Three young sorority women try to find love with potential men, while worrying about changes in their way of life when integration begins at their college in 1957 segregated Alabama.;8000000.0;1097333.0;1097333.0
104;Heathers;3/31/1989;Comedy, Crime;In order to get out of the snobby clique that is destroying her good-girl reputation, an intelligent teen teams up with a dark sociopath in a plot to kill the cool kids.;3000000.0;1108462.0;1163969.0
105;Henry V;11/8/1989;Action, Biography, Drama;In the midst of the Hundred Years War, the young King Henry V of England embarks on the conquest of France in 1415.;9000000.0;10161099.0;10161099.0
106;Honey, I Shrunk the Kids;2/9/1990;Adventure, Comedy, Family;The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.;18000000.0;130724172.0;222724172.0
107;The Horror Show;4/28/1989;Horror;"Detective Lucas McCarthy finally apprehends ""Meat Cleaver Max"" and watches the electric chair execution from the audience. But killing Max Jenke only elevated him to another level of ...";3000000.0;1738897.0;1738897.0
108;How I Got Into College;5/19/1989;Comedy, Romance;Marlon has a crush on Jessica (running for high school senior class president). Jessica wants to attend Ramsey College. Marlon wants to go wherever Jessica is going. Problem: low SAT score.;10000000.0;1642239.0;1642239.0
109;Immediate Family;10/27/1989;Drama;Linda and Michael, married for ten years, desperately want a baby and turn to an adoption agency which introduces them to Lucy, a teenage girl expecting her first baby. The three agree that...;14000000.0;5932613.0;5932613.0
110;In Country;9/29/1989;Drama, Romance, War;A young girl whose father died in the Vietnam War becomes determined to find out more about him and his experiences.;18000000.0;3531971.0;3531971.0
111;Indiana Jones and the Last Crusade;6/30/1989;Action, Adventure;"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against";48000000.0;197171806.0;474310887.0
112;Johnny Handsome;6/15/1990;Crime, Drama, Thriller;After being double crossed and thrown in jail, a deformed gangster gets a new face and rehabilitation, but his desire for revenge looms.;20000000.0;7237794.0;7237794.0
113;K-9;10/6/1989;Action, Comedy, Crime;To stop an elusive criminal, a maverick detective enlists the aid of a police dog who\'s an unusually intelligent smart alec.;17000000.0;43247647.0;78247647.0
114;Kickboxer;9/8/1989;Action, Sport, Thriller;Kurt Sloane must learn the ancient kick boxing art of Muay Thai in order to avenge his brother.;1500000.0;14697005.0;14697005.0
115;Kill Me Again;10/27/1989;Action, Crime, Drama;A young detective becomes involved with a beautiful woman on the run from the mob and her psychopath boyfriend.;4000000.0;283694.0;283694.0
116;Lean on Me;3/3/1989;Drama;The dedicated but tyrannical Joe Clark is appointed the principal of a decaying inner-city school and he is determined to improve by any and all means.;10000000.0;31906454.0;31906454.0
117;Let It Ride;8/18/1989;Comedy, Action;A nosy cab driver gets a hot tip on a race horse and wins big, but he can\'t seem to stop gambling. Will he go broke or walk home with a pretty penny?;18000000.0;4973285.0;4973285.0
118;Lethal Weapon 2;9/15/1989;Action, Crime, Thriller;Riggs and Murtaugh are on the trail of South African diplomats who are using their immunity to engage in criminal activities.;28000000.0;147253986.0;227853986.0
119;Leviathan;3/17/1989;Adventure, Horror, Mystery;An American deep-sea mining colony stumbles upon a sunken Soviet vessel hiding a horrific secret.;25000000.0;15704614.0;15704614.0
120;Licence to Kill;7/14/1989;Action, Adventure, Thriller;Against the orders of MI6, James Bond goes rogue and seeks vengeance against a drug lord who left his best friend for dead after murdering his wife, while uncovering a drug plot posing as a hitman.;32000000.0;34667015.0;156167015.0
121;The Little Mermaid;12/21/1990;Animation, Family, Fantasy;A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince\'s love.;40000000.0;111543479.0;274176364.0
123;Lock Up;4/20/1990;Action, Crime, Drama;With only six months left of his sentence, inmate Frank Leone is transferred from a minimum security prison to a maximum security prison by a vindictive warden.;24000000.0;22099847.0;22099847.0
124;Look Who's Talking;4/6/1990;Comedy;After a single, career-minded woman is left on her own to give birth to the child of a married man, she finds a new romantic chance in a cab driver. Meanwhile, the point-of-view of the newborn boy is narrated through voice-over.;7500000.0;140088813.0;296999813.0
126;Major League;11/17/1989;Comedy, Sport;The new owner of the Cleveland Indians puts together a purposely horrible team so they\'ll lose and she can move the team. But when the plot is uncovered, they start winning just to spite her.;11000000.0;49797148.0;49797148.0
127;Miracle Mile;5/19/1989;Action, Drama, Romance;A young man hears a chance phone call telling him that a nuclear war has started and missiles will hit his city in 70 minutes.;3700000.0;1145404.0;1145404.0
129;Mystery Train;11/17/1989;Comedy, Crime, Drama;Three stories are connected by a Memphis hotel and the spirit of Elvis Presley.;2800000.0;1541218.0;1544973.0
130;National Lampoon's Christmas Vacation;6/1/1990;Comedy;The Griswold family\'s plans for a big family Christmas predictably turn into a big disaster.;27000000.0;71319526.0;71319526.0
131;New York Stories;3/10/1989;Comedy, Drama, Romance;A middle-aged artist obsessed with his pretty young assistant, a precocious 12 year old living in a hotel, and a neurotic lawyer with a possessive mother make up three Gotham tales.;15000000.0;10763469.0;10763469.0
132;Next of Kin;6/8/1990;Action, Crime, Thriller;Truman, a Chicago cop, sets out to find the killer of his brother. Meanwhile, another of his brothers, Briar (a hillbilly) decides to find the killer himself.;12000000.0;15942628.0;15942628.0
133;A Nightmare on Elm Street: The Dream Child;6/8/1990;Fantasy, Horror;The pregnant Alice finds Freddy Krueger striking through the sleeping mind of her unborn child, hoping to be reborn into the real world.;6000000.0;22168359.0;22168359.0
134;No Holds Barred;6/2/1989;Action, Sport;Rip is the World Wrestling Federation champion who is faithful to his fans and the network he wrestles for. Brell, the new head of the World Television Network, wants Rip to wrestle for his...;8000000.0;16093651.0;16093651.0
135;Old Gringo;9/8/1989;Adventure, History, Romance;"When school teacher Harriet Winslow goes to Mexico to teach, she is kidnapped by Gen. Tomas Arroyo and his revolutionaries. An aging American, Ambrose ""Old Gringo"" Bierce also in Mexico, ...";34000000.0;3574256.0;3574256.0
136;The Package;10/12/1990;Action, Crime, Drama;Experienced Green Beret sergeant Johnny Gallagher is escorting a prisoner, Airborne Ranger Thomas Boyette, back to the US, but Boyette escapes and Gallagher must risk life and limb to catch him.;18000000.0;10647219.0;10647219.0
137;Parenthood;1/12/1990;Comedy, Drama;The Buckmans are a midwestern family all dealing with their lives: estranged relatives, raising children, pressures of the job, and learning to be a good parent and spouse.;20000000.0;100047830.0;126297830.0
138;Parents;1/27/1989;Comedy, Horror, Mystery;A young boy living in 1950s suburbia suspects his parents are cannibalistic murderers.;3000000.0;870532.0;870532.0
139;Pet Sematary;4/21/1989;Horror, Thriller;After tragedy strikes, a grieving father discovers an ancient burial ground behind his home with the power to raise the dead.;11500000.0;57469467.0;57469467.0
140;Physical Evidence;10/13/1989;Crime, Mystery, Romance;A police officer suspended and now accused of murder is forced to join forces with his court-appointed attorney to assemble the pieces of a deadly puzzle to find the missing link before time runs out.;17000000.0;3560932.0;3560932.0
141;Pink Cadillac;5/26/1989;Action, Comedy, Crime;Skip tracer Tommy looks for bail-jumper Lou Ann. Her crime is marrying Roy, who left counterfeit money in their mobile home and got her arrested. She leaves Roy in his pink Cadillac full of money. His psycho friends want their money back.;19000000.0;12143484.0;12143484.0
142;Police Academy 6: City Under Siege;7/14/1989;Comedy, Crime;Those bumbling cadets take to the streets when three inept goons successfully orchestrate a metropolitan crime wave.;12000000.0;11567217.0;11567217.0
143;Red Scorpion;4/21/1989;Action, Adventure;A Soviet Special Forces soldier is sent on a mission to infiltrate an African rebel army and assassinate its leader, but the war machine they trained starts to think for himself.;16000000.0;4192440.0;4192440.0
144;Relentless;8/30/1989;Crime, Thriller;Two Los Angeles police detectives, cynical veteran Malloy and cocky rookie Dietz, hunt for a serial killer, an ex-cop named Taylor, whom randomly chooses his victims from a phone directory.;4000000.0;6985999.0;6985999.0
145;The Return of Swamp Thing;5/12/1989;Action, Adventure, Comedy;The Swamp Thing returns to battle the evil Dr. Arcane, who has a new science lab full of creatures transformed by genetic mutation, and chooses Heather Locklear as his new object of ...;4000000.0;192816.0;192816.0
146;Road House;11/10/1989;Action, Thriller;A tough bouncer is hired to tame a dirty bar.;17000000.0;30050028.0;30050028.0
147;Sea of Love;2/16/1990;Crime, Drama, Mystery;A detective investigating a series of murders becomes involved with a woman who may be the culprit.;19000000.0;58571513.0;110879513.0
